Modelo,Accuracy,Precision,Recall,F1,ROC_AUC
SVM,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9976851851851851
XGBoost,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9937169312169312
